timestamp,rssi,lqi,device_id
'2023-08-26 12:31:00,492',-97,29,115
'2023-08-26 12:31:00,581',-97,29,115
'2023-08-26 12:31:00,675',-98,29,115
'2023-08-26 12:31:00,770',-96,29,115
'2023-08-26 12:31:00,864',-97,29,115
'2023-08-26 12:31:00,957',-96,29,115
'2023-08-26 12:31:01,050',-97,29,115
'2023-08-26 12:31:01,145',-96,29,115
'2023-08-26 12:31:01,239',-97,29,115
'2023-08-26 12:31:01,331',-97,29,115
'2023-08-26 12:31:01,426',-97,29,115
'2023-08-26 12:31:01,520',-98,29,115
'2023-08-26 12:31:01,614',-97,29,115
'2023-08-26 12:31:01,708',-97,29,115
'2023-08-26 12:31:01,800',-97,29,115
'2023-08-26 12:31:01,895',-97,29,115
'2023-08-26 12:31:01,988',-97,29,115
'2023-08-26 12:31:02,082',-97,29,115
'2023-08-26 12:31:02,175',-97,29,115
'2023-08-26 12:31:02,269',-97,29,115
'2023-08-26 12:31:02,363',-97,29,115
'2023-08-26 12:31:02,457',-97,29,115
'2023-08-26 12:31:02,551',-97,29,115
'2023-08-26 12:31:02,644',-97,29,115
'2023-08-26 12:31:02,738',-97,29,115
'2023-08-26 12:31:02,832',-97,29,115
'2023-08-26 12:31:02,926',-97,29,115
'2023-08-26 12:31:03,020',-97,29,115
'2023-08-26 12:31:03,113',-97,29,115
'2023-08-26 12:31:03,208',-97,29,115
'2023-08-26 12:31:03,301',-97,29,115
'2023-08-26 12:31:03,395',-97,29,115
'2023-08-26 12:31:03,489',-97,29,115
'2023-08-26 12:31:03,582',-96,29,115
'2023-08-26 12:31:03,676',-96,29,115
'2023-08-26 12:31:03,770',-96,29,115
'2023-08-26 12:31:03,864',-97,29,115
'2023-08-26 12:31:03,958',-96,29,115
'2023-08-26 12:31:04,051',-96,29,115
'2023-08-26 12:31:04,144',-97,29,115
'2023-08-26 12:31:04,239',-97,29,115
'2023-08-26 12:31:04,332',-97,29,115
'2023-08-26 12:31:04,425',-97,29,115
'2023-08-26 12:31:04,519',-97,29,115
'2023-08-26 12:31:04,613',-97,29,115
'2023-08-26 12:31:04,707',-97,29,115
'2023-08-26 12:31:04,801',-97,29,115
'2023-08-26 12:31:04,895',-97,29,115
'2023-08-26 12:31:04,988',-97,29,115
'2023-08-26 12:31:05,082',-97,29,115
'2023-08-26 12:31:05,176',-97,29,115
'2023-08-26 12:31:05,270',-97,29,115
'2023-08-26 12:31:05,364',-97,29,115
'2023-08-26 12:31:05,457',-97,29,115
'2023-08-26 12:31:05,551',-97,29,115
'2023-08-26 12:31:05,645',-97,29,115
'2023-08-26 12:31:05,739',-97,29,115
'2023-08-26 12:31:05,831',-97,29,115
'2023-08-26 12:31:05,925',-97,29,115
'2023-08-26 12:31:06,020',-97,29,115
'2023-08-26 12:31:06,114',-96,29,115
'2023-08-26 12:31:06,208',-97,29,115
'2023-08-26 12:31:06,300',-97,29,115
'2023-08-26 12:31:06,394',-97,29,115
'2023-08-26 12:31:06,488',-97,29,115
'2023-08-26 12:31:06,582',-97,29,115
'2023-08-26 12:31:06,675',-97,29,115
