timestamp,rssi,lqi,device_id
'2023-08-26 12:31:00491',-95,87,6
'2023-08-26 12:31:00492',-97,29,6
'2023-08-26 12:31:00581',-97,29,6
'2023-08-26 12:31:00583',-95,87,6
'2023-08-26 12:31:00675',-95,87,6
'2023-08-26 12:31:00675',-98,29,6
'2023-08-26 12:31:00769',-95,87,6
'2023-08-26 12:31:00770',-96,29,6
'2023-08-26 12:31:00864',-95,87,6
'2023-08-26 12:31:00864',-97,29,6
'2023-08-26 12:31:00957',-96,29,6
'2023-08-26 12:31:00957',-95,87,6
'2023-08-26 12:31:01050',-95,87,6
'2023-08-26 12:31:01050',-97,29,6
'2023-08-26 12:31:01144',-95,87,6
'2023-08-26 12:31:01145',-96,29,6
'2023-08-26 12:31:01238',-95,87,6
'2023-08-26 12:31:01239',-97,29,6
'2023-08-26 12:31:01331',-97,29,6
'2023-08-26 12:31:01332',-95,87,6
'2023-08-26 12:31:01426',-97,29,6
'2023-08-26 12:31:01426',-96,87,6
'2023-08-26 12:31:01519',-96,87,6
'2023-08-26 12:31:01520',-98,29,6
'2023-08-26 12:31:01613',-96,87,6
'2023-08-26 12:31:01614',-97,29,6
'2023-08-26 12:31:01707',-95,87,6
'2023-08-26 12:31:01708',-97,29,6
'2023-08-26 12:31:01800',-97,29,6
'2023-08-26 12:31:01801',-95,87,6
'2023-08-26 12:31:01894',-95,87,6
'2023-08-26 12:31:01895',-97,29,6
'2023-08-26 12:31:01988',-96,87,6
'2023-08-26 12:31:01988',-97,29,6
'2023-08-26 12:31:02082',-95,87,6
'2023-08-26 12:31:02082',-97,29,6
'2023-08-26 12:31:02175',-97,29,6
'2023-08-26 12:31:02176',-95,87,6
'2023-08-26 12:31:02269',-97,29,6
'2023-08-26 12:31:02270',-95,87,6
'2023-08-26 12:31:02363',-96,87,6
'2023-08-26 12:31:02363',-97,29,6
'2023-08-26 12:31:02457',-95,87,6
'2023-08-26 12:31:02457',-97,29,6
'2023-08-26 12:31:02551',-95,87,6
'2023-08-26 12:31:02551',-97,29,6
'2023-08-26 12:31:02644',-97,29,6
'2023-08-26 12:31:02645',-96,87,6
'2023-08-26 12:31:02738',-97,29,6
'2023-08-26 12:31:02739',-95,87,6
'2023-08-26 12:31:02832',-95,87,6
'2023-08-26 12:31:02832',-97,29,6
'2023-08-26 12:31:02926',-95,87,6
'2023-08-26 12:31:02926',-97,29,6
'2023-08-26 12:31:03020',-95,87,6
'2023-08-26 12:31:03020',-97,29,6
'2023-08-26 12:31:03113',-97,29,6
'2023-08-26 12:31:03114',-95,87,6
'2023-08-26 12:31:03208',-97,29,6
'2023-08-26 12:31:03208',-95,87,6
'2023-08-26 12:31:03300',-95,87,6
'2023-08-26 12:31:03301',-97,29,6
'2023-08-26 12:31:03394',-95,87,6
'2023-08-26 12:31:03395',-97,29,6
'2023-08-26 12:31:03488',-95,87,6
'2023-08-26 12:31:03489',-97,29,6
'2023-08-26 12:31:03582',-96,29,6
'2023-08-26 12:31:03583',-95,87,6
'2023-08-26 12:31:03675',-95,87,6
'2023-08-26 12:31:03676',-96,29,6
'2023-08-26 12:31:03769',-95,87,6
'2023-08-26 12:31:03770',-96,29,6
'2023-08-26 12:31:03863',-95,87,6
'2023-08-26 12:31:03864',-97,29,6
'2023-08-26 12:31:03957',-95,87,6
'2023-08-26 12:31:03958',-96,29,6
'2023-08-26 12:31:04051',-96,29,6
'2023-08-26 12:31:04051',-95,87,6
'2023-08-26 12:31:04144',-95,87,6
'2023-08-26 12:31:04144',-97,29,6
'2023-08-26 12:31:04238',-95,87,6
'2023-08-26 12:31:04239',-97,29,6
'2023-08-26 12:31:04332',-95,87,6
'2023-08-26 12:31:04332',-97,29,6
'2023-08-26 12:31:04425',-97,29,6
'2023-08-26 12:31:04426',-95,87,6
'2023-08-26 12:31:04519',-95,87,6
'2023-08-26 12:31:04519',-97,29,6
'2023-08-26 12:31:04613',-95,87,6
'2023-08-26 12:31:04613',-97,29,6
'2023-08-26 12:31:04707',-97,29,6
'2023-08-26 12:31:04707',-95,87,6
'2023-08-26 12:31:04801',-95,87,6
'2023-08-26 12:31:04801',-97,29,6
'2023-08-26 12:31:04895',-95,87,6
'2023-08-26 12:31:04895',-97,29,6
'2023-08-26 12:31:04988',-95,87,6
'2023-08-26 12:31:04988',-97,29,6
'2023-08-26 12:31:05082',-95,87,6
'2023-08-26 12:31:05082',-97,29,6
'2023-08-26 12:31:05176',-95,87,6
'2023-08-26 12:31:05176',-97,29,6
'2023-08-26 12:31:05270',-95,87,6
'2023-08-26 12:31:05270',-97,29,6
'2023-08-26 12:31:05364',-95,87,6
'2023-08-26 12:31:05364',-97,29,6
'2023-08-26 12:31:05457',-95,87,6
'2023-08-26 12:31:05457',-97,29,6
'2023-08-26 12:31:05551',-95,87,6
'2023-08-26 12:31:05551',-97,29,6
'2023-08-26 12:31:05645',-95,87,6
'2023-08-26 12:31:05645',-97,29,6
'2023-08-26 12:31:05739',-95,87,6
'2023-08-26 12:31:05739',-97,29,6
