timestamp,rssi,lqi,device_id
'2023-08-26 12:32:35298',-100,38,4
'2023-08-26 12:32:35385',-100,38,4
'2023-08-26 12:32:35479',-100,38,4
'2023-08-26 12:32:35573',-100,38,4
'2023-08-26 12:32:35761',-100,38,4
'2023-08-26 12:32:35949',-100,74,4
'2023-08-26 12:32:36043',-100,74,4
'2023-08-26 12:32:36135',-100,74,4
'2023-08-26 12:32:36417',-100,74,4
'2023-08-26 12:32:36605',-100,74,4
'2023-08-26 12:32:36699',-100,74,4
'2023-08-26 12:32:36980',-101,74,4
'2023-08-26 12:32:37073',-100,74,4
'2023-08-26 12:32:37261',-100,74,4
'2023-08-26 12:32:37448',-100,66,4
'2023-08-26 12:32:37730',-100,62,4
'2023-08-26 12:32:37918',-101,64,4
'2023-08-26 12:32:38104',-100,64,4
'2023-08-26 12:32:38198',-100,64,4
'2023-08-26 12:32:38386',-100,64,4
'2023-08-26 12:32:38480',-100,64,4
'2023-08-26 12:32:38668',-100,64,4
'2023-08-26 12:32:38854',-100,67,4
'2023-08-26 12:32:39136',-100,63,4
'2023-08-26 12:32:39230',-100,63,4
'2023-08-26 12:32:39324',-100,63,4
'2023-08-26 12:32:39511',-100,63,4
'2023-08-26 12:32:39698',-100,71,4
'2023-08-26 12:32:39792',-100,71,4
'2023-08-26 12:32:39886',-101,71,4
'2023-08-26 12:32:39980',-100,71,4
'2023-08-26 12:32:40168',-100,71,4
'2023-08-26 12:32:40262',-100,71,4
'2023-08-26 12:32:40355',-101,71,4
'2023-08-26 12:32:40449',-100,71,4
'2023-08-26 12:32:40730',-100,71,4
'2023-08-26 12:32:40823',-101,71,4
'2023-08-26 12:32:40917',-100,71,4
'2023-08-26 12:32:41011',-100,71,4
'2023-08-26 12:32:41199',-101,71,4
'2023-08-26 12:32:41386',-100,70,4
'2023-08-26 12:32:41479',-100,70,4
'2023-08-26 12:32:41573',-100,70,4
'2023-08-26 12:32:41667',-100,70,4
'2023-08-26 12:32:41761',-100,70,4
'2023-08-26 12:32:41856',-100,70,4
'2023-08-26 12:32:42136',-100,68,4
'2023-08-26 12:32:42230',-100,68,4
'2023-08-26 12:32:42699',-100,64,4
'2023-08-26 12:32:42981',-100,64,4
'2023-08-26 12:32:43073',-100,64,4
'2023-08-26 12:32:43355',-100,71,4
'2023-08-26 12:32:43730',-101,69,4
'2023-08-26 12:32:43824',-101,69,4
'2023-08-26 12:32:44012',-100,69,4
'2023-08-26 12:32:44104',-100,69,4
'2023-08-26 12:32:44198',-100,69,4
'2023-08-26 12:32:44292',-100,69,4
'2023-08-26 12:32:44480',-100,69,4
'2023-08-26 12:32:44574',-101,69,4
'2023-08-26 12:32:45837',-98,69,4
'2023-08-26 12:32:45837',-100,33,4
'2023-08-26 12:32:45926',-99,69,4
'2023-08-26 12:32:45926',-101,33,4
'2023-08-26 12:32:46020',-99,69,4
'2023-08-26 12:32:46113',-98,69,4
'2023-08-26 12:32:46114',-100,76,4
'2023-08-26 12:32:46207',-101,76,4
'2023-08-26 12:32:46207',-99,69,4
'2023-08-26 12:32:46301',-100,76,4
'2023-08-26 12:32:46301',-99,69,4
'2023-08-26 12:32:46395',-99,69,4
'2023-08-26 12:32:46488',-101,76,4
'2023-08-26 12:32:46489',-98,69,4
'2023-08-26 12:32:46581',-99,69,4
'2023-08-26 12:32:46676',-99,69,4
'2023-08-26 12:32:46770',-98,69,4
'2023-08-26 12:32:46864',-98,69,4
'2023-08-26 12:32:46957',-100,76,4
'2023-08-26 12:32:46958',-98,69,4
'2023-08-26 12:32:47050',-98,69,4
'2023-08-26 12:32:47051',-101,76,4
'2023-08-26 12:32:47144',-100,76,4
'2023-08-26 12:32:47145',-98,69,4
'2023-08-26 12:32:47238',-101,76,4
'2023-08-26 12:32:47239',-99,69,4
'2023-08-26 12:32:47332',-100,76,4
'2023-08-26 12:32:47333',-99,69,4
'2023-08-26 12:32:47425',-99,69,4
'2023-08-26 12:32:47426',-101,76,4
'2023-08-26 12:32:47520',-98,69,4
'2023-08-26 12:32:47520',-101,76,4
'2023-08-26 12:32:47613',-100,76,4
'2023-08-26 12:32:47614',-99,69,4
'2023-08-26 12:32:47707',-101,76,4
'2023-08-26 12:32:47708',-98,69,4
'2023-08-26 12:32:47801',-98,69,4
'2023-08-26 12:32:47895',-98,69,4
'2023-08-26 12:32:47989',-100,76,4
'2023-08-26 12:32:47989',-99,69,4
'2023-08-26 12:32:48083',-100,76,4
'2023-08-26 12:32:48083',-99,69,4
'2023-08-26 12:32:48176',-99,69,4
'2023-08-26 12:32:48270',-98,69,4
'2023-08-26 12:32:48363',-100,78,4
'2023-08-26 12:32:48364',-99,69,4
'2023-08-26 12:32:48458',-98,69,4
'2023-08-26 12:32:48550',-98,69,4
'2023-08-26 12:32:48551',-101,68,4
'2023-08-26 12:32:48645',-99,69,4
'2023-08-26 12:32:48738',-101,68,4
'2023-08-26 12:32:48739',-98,69,4
'2023-08-26 12:32:48833',-98,69,4
'2023-08-26 12:32:48926',-99,69,4
'2023-08-26 12:32:48926',-101,68,4
'2023-08-26 12:32:49020',-98,69,4
'2023-08-26 12:32:49020',-101,68,4
'2023-08-26 12:32:49113',-101,68,4
'2023-08-26 12:32:49114',-98,69,4
'2023-08-26 12:32:49207',-101,68,4
'2023-08-26 12:32:49208',-99,69,4
'2023-08-26 12:32:49301',-98,69,4
'2023-08-26 12:32:49301',-101,68,4
'2023-08-26 12:32:49394',-99,69,4
'2023-08-26 12:32:49489',-99,69,4
'2023-08-26 12:32:49489',-100,72,4
'2023-08-26 12:32:49583',-98,69,4
'2023-08-26 12:32:49675',-99,69,4
'2023-08-26 12:32:49676',-101,72,4
'2023-08-26 12:32:49769',-101,72,4
'2023-08-26 12:32:49769',-98,69,4
'2023-08-26 12:32:49863',-100,72,4
'2023-08-26 12:32:49864',-98,69,4
'2023-08-26 12:32:49957',-101,72,4
'2023-08-26 12:32:49958',-99,69,4
'2023-08-26 12:32:50050',-98,69,4
'2023-08-26 12:32:50051',-101,72,4
'2023-08-26 12:32:50145',-98,69,4
'2023-08-26 12:32:50239',-99,69,4
'2023-08-26 12:32:50333',-99,69,4
'2023-08-26 12:32:50425',-98,69,4
'2023-08-26 12:32:50427',-101,72,4
'2023-08-26 12:32:50519',-101,72,4
'2023-08-26 12:32:50519',-98,69,4
'2023-08-26 12:32:50613',-101,72,4
'2023-08-26 12:32:50614',-98,69,4
'2023-08-26 12:32:50707',-100,72,4
'2023-08-26 12:32:50708',-99,69,4
'2023-08-26 12:32:50800',-99,69,4
'2023-08-26 12:32:50895',-99,69,4
'2023-08-26 12:32:50895',-101,72,4
'2023-08-26 12:32:50988',-100,72,4
'2023-08-26 12:32:50989',-98,69,4
'2023-08-26 12:32:51082',-100,72,4
