timestamp,rssi,lqi,device_id
'2023-08-26 12:33:46,685',-102,52,138
'2023-08-26 12:33:46,873',-103,52,138
'2023-08-26 12:35:22,564',-103,56,138
'2023-08-26 12:35:23,888',-93,34,137
'2023-08-26 12:35:23,978',-100,79,138
'2023-08-26 12:35:23,978',-93,34,137
'2023-08-26 12:35:23,978',-99,83,136
'2023-08-26 12:35:24,071',-99,83,136
'2023-08-26 12:35:24,072',-100,79,138
'2023-08-26 12:35:24,072',-93,34,137
'2023-08-26 12:35:24,165',-93,34,137
'2023-08-26 12:35:24,165',-99,83,136
'2023-08-26 12:35:24,166',-100,79,138
'2023-08-26 12:35:24,259',-100,79,138
'2023-08-26 12:35:24,259',-93,34,137
'2023-08-26 12:35:24,259',-99,83,136
'2023-08-26 12:35:24,353',-93,34,137
'2023-08-26 12:35:24,447',-100,79,138
'2023-08-26 12:35:24,447',-93,34,137
'2023-08-26 12:35:24,447',-99,83,136
'2023-08-26 12:35:24,540',-100,79,138
'2023-08-26 12:35:24,541',-93,34,137
'2023-08-26 12:35:24,541',-99,83,136
'2023-08-26 12:35:24,633',-93,34,137
'2023-08-26 12:35:24,634',-99,83,136
'2023-08-26 12:35:24,635',-100,79,138
'2023-08-26 12:35:24,727',-100,79,138
'2023-08-26 12:35:24,727',-100,83,136
'2023-08-26 12:35:24,728',-93,34,137
'2023-08-26 12:35:24,821',-100,79,138
'2023-08-26 12:35:24,822',-94,34,137
'2023-08-26 12:35:24,822',-99,83,136
'2023-08-26 12:35:24,915',-100,79,138
'2023-08-26 12:35:24,916',-93,34,137
'2023-08-26 12:35:24,916',-100,83,136
'2023-08-26 12:35:25,008',-99,83,136
'2023-08-26 12:35:25,009',-93,34,137
'2023-08-26 12:35:25,009',-100,79,138
'2023-08-26 12:35:25,102',-93,34,137
'2023-08-26 12:35:25,103',-100,83,136
'2023-08-26 12:35:25,103',-100,79,138
'2023-08-26 12:35:25,197',-93,34,137
'2023-08-26 12:35:25,197',-100,83,136
'2023-08-26 12:35:25,197',-100,79,138
'2023-08-26 12:35:25,290',-100,79,138
'2023-08-26 12:35:25,290',-93,34,137
'2023-08-26 12:35:25,291',-100,83,136
'2023-08-26 12:35:25,384',-100,79,138
'2023-08-26 12:35:25,384',-93,34,137
'2023-08-26 12:35:25,385',-99,83,136
'2023-08-26 12:35:25,477',-93,34,137
'2023-08-26 12:35:25,477',-99,83,136
'2023-08-26 12:35:25,571',-93,34,137
'2023-08-26 12:35:25,571',-99,83,136
'2023-08-26 12:35:25,572',-100,79,138
'2023-08-26 12:35:25,665',-93,34,137
'2023-08-26 12:35:25,666',-99,83,136
'2023-08-26 12:35:25,666',-100,79,138
'2023-08-26 12:35:25,760',-93,34,137
'2023-08-26 12:35:25,760',-100,83,136
'2023-08-26 12:35:25,760',-100,79,138
'2023-08-26 12:35:25,852',-93,34,137
'2023-08-26 12:35:25,853',-100,83,136
'2023-08-26 12:35:25,853',-100,79,138
'2023-08-26 12:35:25,946',-100,83,136
'2023-08-26 12:35:25,946',-93,34,137
'2023-08-26 12:35:25,947',-100,79,138
'2023-08-26 12:35:26,040',-99,83,136
'2023-08-26 12:35:26,041',-100,79,138
'2023-08-26 12:35:26,041',-93,34,137
'2023-08-26 12:35:26,134',-93,34,137
'2023-08-26 12:35:26,134',-100,83,136
'2023-08-26 12:35:26,135',-100,79,138
'2023-08-26 12:35:26,227',-93,34,137
'2023-08-26 12:35:26,227',-100,79,138
'2023-08-26 12:35:26,228',-99,83,136
'2023-08-26 12:35:26,321',-99,83,136
'2023-08-26 12:35:26,321',-93,34,137
'2023-08-26 12:35:26,321',-100,79,138
'2023-08-26 12:35:26,415',-100,83,136
'2023-08-26 12:35:26,415',-93,34,137
'2023-08-26 12:35:26,415',-100,79,138
'2023-08-26 12:35:26,509',-99,83,136
'2023-08-26 12:35:26,509',-93,34,137
'2023-08-26 12:35:26,509',-100,79,138
'2023-08-26 12:35:26,604',-93,34,137
'2023-08-26 12:35:26,604',-100,83,136
'2023-08-26 12:35:26,697',-100,77,138
'2023-08-26 12:35:26,697',-99,83,136
'2023-08-26 12:35:26,697',-93,34,137
'2023-08-26 12:35:26,790',-100,83,136
'2023-08-26 12:35:26,790',-93,34,137
'2023-08-26 12:35:26,790',-100,77,138
'2023-08-26 12:35:26,884',-99,83,136
'2023-08-26 12:35:26,884',-100,77,138
'2023-08-26 12:35:26,884',-93,34,137
'2023-08-26 12:35:26,978',-100,77,138
'2023-08-26 12:35:26,978',-100,83,136
'2023-08-26 12:35:26,978',-93,34,137
'2023-08-26 12:35:27,072',-100,77,138
'2023-08-26 12:35:27,072',-99,83,136
'2023-08-26 12:35:27,072',-93,34,137
'2023-08-26 12:35:27,166',-100,77,138
'2023-08-26 12:35:27,166',-99,83,136
'2023-08-26 12:35:27,166',-93,34,137
'2023-08-26 12:35:27,259',-100,77,138
'2023-08-26 12:35:27,259',-100,83,136
'2023-08-26 12:35:27,259',-93,34,137
'2023-08-26 12:35:27,353',-100,77,138
'2023-08-26 12:35:27,353',-99,83,136
'2023-08-26 12:35:27,353',-93,34,137
'2023-08-26 12:35:27,447',-93,34,137
'2023-08-26 12:35:27,541',-100,70,138
'2023-08-26 12:35:27,541',-99,84,136
'2023-08-26 12:35:27,541',-93,34,137
'2023-08-26 12:35:27,633',-94,34,137
'2023-08-26 12:35:27,634',-100,70,138
'2023-08-26 12:35:27,635',-99,84,136
'2023-08-26 12:35:27,727',-99,84,136
'2023-08-26 12:35:27,728',-93,34,137
'2023-08-26 12:35:27,728',-100,70,138
'2023-08-26 12:35:27,822',-99,84,136
'2023-08-26 12:35:27,822',-100,70,138
'2023-08-26 12:35:27,822',-93,34,137
'2023-08-26 12:35:27,915',-100,84,136
'2023-08-26 12:35:27,916',-100,70,138
'2023-08-26 12:35:27,916',-93,34,137
'2023-08-26 12:35:28,009',-100,70,138
'2023-08-26 12:35:28,009',-100,84,136
'2023-08-26 12:35:28,010',-93,34,137
'2023-08-26 12:35:28,103',-93,34,137
'2023-08-26 12:35:28,103',-100,70,138
'2023-08-26 12:35:28,103',-100,84,136
'2023-08-26 12:35:28,197',-93,34,137
'2023-08-26 12:35:28,197',-100,70,138
'2023-08-26 12:35:28,197',-100,84,136
'2023-08-26 12:35:28,290',-100,70,138
'2023-08-26 12:35:28,290',-100,84,136
'2023-08-26 12:35:28,291',-93,34,137
'2023-08-26 12:35:28,384',-100,70,138
'2023-08-26 12:35:28,384',-99,84,136
'2023-08-26 12:35:28,385',-93,34,137
'2023-08-26 12:35:28,477',-93,34,137
'2023-08-26 12:35:28,478',-100,70,138
'2023-08-26 12:35:28,478',-99,84,136
'2023-08-26 12:35:28,571',-93,34,137
'2023-08-26 12:35:28,572',-101,70,138
'2023-08-26 12:35:28,572',-100,84,136
'2023-08-26 12:35:28,665',-93,34,137
'2023-08-26 12:35:28,666',-100,84,136
'2023-08-26 12:35:28,666',-100,70,138
'2023-08-26 12:35:28,759',-100,70,138
'2023-08-26 12:35:28,759',-100,84,136
'2023-08-26 12:35:28,759',-93,34,137
'2023-08-26 12:35:28,853',-99,84,136
'2023-08-26 12:35:28,853',-100,70,138
'2023-08-26 12:35:28,853',-93,34,137
'2023-08-26 12:35:28,946',-93,34,137
'2023-08-26 12:35:28,947',-99,84,136
'2023-08-26 12:35:28,947',-100,70,138
'2023-08-26 12:35:29,040',-93,34,137
'2023-08-26 12:35:29,041',-99,84,136
'2023-08-26 12:35:29,041',-100,70,138
'2023-08-26 12:35:29,134',-99,84,136
'2023-08-26 12:35:29,134',-93,34,137
'2023-08-26 12:35:29,228',-99,84,136
'2023-08-26 12:35:29,228',-93,34,137
'2023-08-26 12:35:29,228',-100,80,138
'2023-08-26 12:35:29,321',-100,80,138
'2023-08-26 12:35:29,322',-93,34,137
'2023-08-26 12:35:29,415',-93,34,137
'2023-08-26 12:35:29,416',-100,81,136
'2023-08-26 12:35:29,416',-100,80,138
'2023-08-26 12:35:29,509',-100,80,138
'2023-08-26 12:35:29,510',-99,81,136
'2023-08-26 12:35:29,513',-93,34,137
'2023-08-26 12:35:29,603',-93,34,137
'2023-08-26 12:35:29,603',-100,81,136
'2023-08-26 12:35:29,604',-100,80,138
'2023-08-26 12:35:29,696',-99,81,136
'2023-08-26 12:35:29,697',-93,34,137
'2023-08-26 12:35:29,698',-99,80,138
'2023-08-26 12:35:29,790',-100,80,138
'2023-08-26 12:35:29,790',-99,81,136
'2023-08-26 12:35:29,791',-93,34,137
'2023-08-26 12:35:29,884',-93,34,137
'2023-08-26 12:35:29,978',-93,34,137
'2023-08-26 12:35:29,978',-100,80,138
'2023-08-26 12:35:29,978',-100,81,136
'2023-08-26 12:35:30,072',-99,80,138
'2023-08-26 12:35:30,072',-93,34,137
'2023-08-26 12:35:30,072',-99,81,136
'2023-08-26 12:35:30,166',-100,80,138
'2023-08-26 12:35:30,166',-93,34,137
'2023-08-26 12:35:30,166',-99,81,136
'2023-08-26 12:35:30,259',-99,81,136
'2023-08-26 12:35:30,260',-93,34,137
'2023-08-26 12:35:30,260',-100,80,138
'2023-08-26 12:35:30,353',-100,80,138
'2023-08-26 12:35:30,353',-93,34,137
'2023-08-26 12:35:30,353',-100,81,136
'2023-08-26 12:35:30,447',-93,34,137
'2023-08-26 12:35:30,447',-100,81,136
'2023-08-26 12:35:30,540',-100,80,138
'2023-08-26 12:35:30,541',-93,34,137
'2023-08-26 12:35:30,541',-99,81,136
'2023-08-26 12:35:30,634',-100,80,138
'2023-08-26 12:35:30,635',-93,34,137
'2023-08-26 12:35:30,635',-100,81,136
'2023-08-26 12:35:30,727',-93,34,137
'2023-08-26 12:35:30,728',-100,81,136
'2023-08-26 12:35:30,728',-100,80,138
'2023-08-26 12:35:30,821',-93,34,137
'2023-08-26 12:35:30,822',-100,80,138
'2023-08-26 12:35:30,915',-100,80,138
'2023-08-26 12:35:30,915',-99,81,136
'2023-08-26 12:35:30,915',-93,34,137
'2023-08-26 12:35:31,010',-101,80,138
'2023-08-26 12:35:31,010',-100,81,136
'2023-08-26 12:35:31,010',-93,34,137
'2023-08-26 12:35:31,103',-100,80,138
'2023-08-26 12:35:31,104',-100,81,136
'2023-08-26 12:35:31,104',-93,34,137
'2023-08-26 12:35:31,196',-99,81,136
'2023-08-26 12:35:31,196',-93,34,137
'2023-08-26 12:35:31,197',-100,80,138
'2023-08-26 12:35:31,290',-99,81,136
'2023-08-26 12:35:31,290',-93,34,137
'2023-08-26 12:35:31,291',-100,80,138
'2023-08-26 12:35:31,384',-100,80,138
'2023-08-26 12:35:31,384',-99,81,136
'2023-08-26 12:35:31,384',-93,34,137
'2023-08-26 12:35:31,478',-100,80,138
'2023-08-26 12:35:31,478',-99,81,136
'2023-08-26 12:35:31,478',-93,34,137
'2023-08-26 12:35:31,572',-100,80,138
'2023-08-26 12:35:31,572',-99,81,136
'2023-08-26 12:35:31,573',-93,34,137
'2023-08-26 12:35:31,665',-99,81,136
'2023-08-26 12:35:31,665',-93,34,137
'2023-08-26 12:35:31,666',-100,80,138
'2023-08-26 12:35:31,759',-100,80,138
