timestamp,rssi,lqi,device_id
'2023-08-26 12:23:17,058',-60,108,6
'2023-08-26 12:23:17,151',-60,108,6
'2023-08-26 12:23:17,245',-60,108,6
'2023-08-26 12:23:17,339',-60,108,6
'2023-08-26 12:23:17,433',-60,108,6
'2023-08-26 12:23:17,527',-60,108,6
'2023-08-26 12:23:17,619',-60,108,6
'2023-08-26 12:23:17,714',-60,108,6
'2023-08-26 12:23:17,807',-60,108,6
'2023-08-26 12:23:17,901',-60,108,6
'2023-08-26 12:23:17,995',-60,108,6
'2023-08-26 12:23:18,088',-60,108,6
'2023-08-26 12:23:18,182',-60,108,6
'2023-08-26 12:23:18,276',-60,108,6
'2023-08-26 12:23:18,370',-60,108,6
'2023-08-26 12:23:18,464',-60,108,6
'2023-08-26 12:23:18,557',-60,108,6
'2023-08-26 12:23:18,651',-60,108,6
'2023-08-26 12:23:18,745',-60,108,6
'2023-08-26 12:23:18,839',-60,108,6
'2023-08-26 12:23:18,934',-60,108,6
'2023-08-26 12:23:19,026',-60,108,6
'2023-08-26 12:23:19,120',-60,108,6
'2023-08-26 12:23:19,214',-60,108,6
'2023-08-26 12:23:19,308',-60,108,6
'2023-08-26 12:23:19,400',-60,108,6
'2023-08-26 12:23:19,495',-60,108,6
'2023-08-26 12:23:19,589',-60,108,6
'2023-08-26 12:23:19,683',-60,108,6
'2023-08-26 12:23:19,777',-60,108,6
'2023-08-26 12:23:19,869',-60,108,6
'2023-08-26 12:23:19,963',-60,108,6
'2023-08-26 12:23:20,057',-60,108,6
'2023-08-26 12:23:20,152',-60,108,6
'2023-08-26 12:23:20,246',-60,108,6
'2023-08-26 12:23:20,339',-60,108,6
'2023-08-26 12:23:20,432',-60,108,6
'2023-08-26 12:23:20,526',-60,108,6
'2023-08-26 12:23:20,620',-60,108,6
'2023-08-26 12:23:20,714',-60,108,6
'2023-08-26 12:23:20,807',-60,108,6
'2023-08-26 12:23:20,901',-60,108,6
'2023-08-26 12:23:20,995',-60,108,6
'2023-08-26 12:23:21,089',-60,108,6
'2023-08-26 12:23:21,182',-60,108,6
'2023-08-26 12:23:21,276',-60,108,6
'2023-08-26 12:23:21,370',-60,108,6
'2023-08-26 12:23:21,464',-60,108,6
'2023-08-26 12:23:21,558',-60,108,6
'2023-08-26 12:23:21,651',-60,108,6
'2023-08-26 12:23:21,745',-60,108,6
'2023-08-26 12:23:21,839',-60,108,6
'2023-08-26 12:23:21,933',-60,108,6
'2023-08-26 12:23:22,027',-60,108,6
'2023-08-26 12:23:22,119',-60,108,6
'2023-08-26 12:23:22,214',-60,108,6
'2023-08-26 12:23:22,308',-60,108,6
'2023-08-26 12:23:22,402',-60,108,6
'2023-08-26 12:23:22,496',-60,108,6
'2023-08-26 12:23:22,588',-60,108,6
'2023-08-26 12:23:22,682',-60,108,6
'2023-08-26 12:23:22,776',-60,108,6
'2023-08-26 12:23:22,870',-60,108,6
'2023-08-26 12:23:22,964',-60,108,6
'2023-08-26 12:23:23,057',-60,108,6
'2023-08-26 12:23:23,151',-60,108,6
'2023-08-26 12:23:23,245',-60,108,6
'2023-08-26 12:23:23,339',-60,108,6
'2023-08-26 12:23:23,432',-60,108,6
